Fecha,Cuota
2008-12,0.60
2009-01,0.67
2009-02,0.69
2009-03,0.80
2009-04,0.86
2009-05,0.86
2009-06,0.94
2009-07,1.05
2009-08,1.12
2009-09,1.12
2009-10,1.15
2009-11,1.21
2009-12,1.28
2010-01,1.56
2010-02,1.72
2010-03,1.96
2010-04,2.18
2010-05,2.32
2010-06,2.57
2010-07,2.86
2010-08,3.21
2010-09,3.50
2010-10,3.81
2010-11,4.02
2010-12,4.10
2011-01,4.30
2011-02,4.45
2011-03,4.70
2011-04,5.21
2011-05,5.75
2011-06,6.53
2011-07,7.02
2011-08,7.12
2011-09,6.74
2011-10,6.55
2011-11,6.95
2011-12,8.04
2012-01,8.49
2012-02,8.53
2012-03,8.99
2012-04,9.58
2012-05,10.11
2012-06,10.40
2012-07,11.09
2012-08,11.43
2012-09,11.65
2012-10,11.91
2012-11,12.64
2012-12,14.02
2013-01,13.55
2013-02,13.70
2013-03,13.77
2013-04,13.29
2013-05,13.97
2013-06,15.31
2013-07,16.49
2013-08,17.12
2013-09,16.96
2013-10,18.76
2013-11,19.07
2013-12,22.16
2014-01,22.37
2014-02,23.22
2014-03,23.91
2014-04,23.53
2014-05,25.39
2014-06,26.64
2014-07,27.48
2014-08,28.53
